title,url,writer
[IP인사] 한국지식재산보호원,http://boannews.com/media/view.asp?idx=139822&page=1&kind=1,IP전략연구소 | 2025년 10월 18일 18:32
[단독] 해커 유인 ‘허니팟’이 독 됐나? 연결된 SK쉴더스 직원 이메일 털려 KISA 신고,http://boannews.com/media/view.asp?idx=139820&page=1&kind=1,조재호 기자 | 2025년 10월 18일 12:25
아태지역 외교 기관 침투한 신비한 코끼리,http://boannews.com/media/view.asp?idx=139819&page=1&kind=4,한세희 기자 | 2025년 10월 18일 09:19
AI 기반 보안 프레임워크 구축 논의...‘2025 방산기술보호 컨퍼런스’ 성료,http://boannews.com/media/view.asp?idx=139815&page=1&kind=2,조재호 기자 | 2025년 10월 17일 17:48
"[카드뉴스] 사이버 위협, 이제 자동화로 대응한다… ‘SOAR’ 주목",http://boannews.com/media/view.asp?idx=139816&page=1&kind=1,지진솔 기자 | 2025년 10월 17일 17:20
SK쉴더스 놓아둔 꿀단지에 낚인 해커...다크웹에 가짜 데이터 올려,http://boannews.com/media/view.asp?idx=139812&page=1&kind=1,조재호 기자 | 2025년 10월 17일 15:47
"F5, 해킹 당해 핵심 BIG-IP 소스 코드 유출... “국가 배후 집단 소행”",http://boannews.com/media/view.asp?idx=139811&page=1&kind=1,한세희 기자 | 2025년 10월 17일 15:36
"KT, 불법 펨토셀 ID 총 20개 확인...작년 10월부터 개인정보 유출 정황",http://boannews.com/media/view.asp?idx=139808&page=1&kind=1,강현주 기자 | 2025년 10월 17일 14:26
[대한민국 털렸다] ‘프랙’ 보고서 사실이었다...행안부 온나라 시스템 등 해킹 확인,http://boannews.com/media/view.asp?idx=139807&page=1&kind=1,강현주 기자 | 2025년 10월 17일 13:31
[배종찬의 보안 빅데이터] ‘AI 보안’에 꼭 필요한 조건 1위는?,http://boannews.com/media/view.asp?idx=139805&page=1&kind=5,권준  기자 | 2025년 10월 17일 10:54
한국재난안전산업협회 대경지부 출범,http://boannews.com/media/view.asp?idx=139821&page=1&kind=3,엄호식 기자 | 2025년 10월 18일 07:36
"스마트도시 성동 ‘스마트 정책투어’, 해외서도 벤치마킹 위해 찾아와",http://boannews.com/media/view.asp?idx=139817&page=1&kind=2,강초희 기자 | 2025년 10월 17일 17:40
